PWS ID (Links to Records),Name,Reports/Notices,County,Status,Federal Type Full Name,State Source Type Full Name,Regulated As Water Hauler?,Population,Service Connections,Enforcement
CO0107189,CRYSTAL SPRING WATER,Reports,BOULDER,A,"Transient, Non-Community",Groundwater,No,90,1,No Recent Activity
CO0123188,CRYSTAL VALLEY,Reports,GARFIELD,A,Community,Groundwater,No,100,40,No Recent Activity
CO0135189,CRYSTAL WC,Reports,LARIMER,I,Non-Public,Surface Water,No,0,400,No Recent Activity
CO0260040,CRYSTOLA BAR AND GRILL,Reports,TELLER,A,"Transient, Non-Community",Groundwater UDI Surface Water,No,80,1,No Recent Activity
CO0247026,CS EMPIRE,Reports,PARK,A,"Transient, Non-Community",Groundwater,No,34,1,No Recent Activity
CO0219170,CSLB 41149 US 6,Reports,EAGLE,A,"Non-Transient, Non-Community",Groundwater,No,76,1,Open Order
CO0219166,CSLB 41184 US 6,Reports,EAGLE,A,"Transient, Non-Community",Groundwater,No,72,1,No Recent Activity
CO0239320,CSS CITY MARKET NO 1 CO0041,Reports,MESA,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0239321,CSS CITY MARKET NO 13 CO0025,Reports,MESA,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0249176,CSS CITY MARKET NO 16 CO0022,Reports,PITKIN,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0239322,CSS CITY MARKET NO 18 CO0036,Reports,MESA,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0239323,CSS CITY MARKET NO 25 CO0033,Reports,MESA,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0215331,CSS CITY MARKET NO 29 CO0020,Reports,DELTA,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0239324,CSS CITY MARKET NO 32 CO0073,Reports,MESA,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0215330,CSS CITY MARKET NO 4 CO0039,Reports,DELTA,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0239340,CSS SAFEWAY NO 1533 CO0089,Reports,MESA,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0235182,CSU FOOTHILLS CAMPUS,Reports,LARIMER,A,"Non-Transient, Non-Community",Purchased Surface Water,No,4483,57,No Recent Activity
CO0235184,CSU MAIN AND WEST HOUSING CAMPUS,Reports,LARIMER,A,Community,Purchased Surface Water,No,27375,179,No Recent Activity
CO0235183,CSU MOUNTAIN CAMPUS,Reports,LARIMER,A,"Transient, Non-Community",Groundwater,No,206,30,No Recent Activity
CO0235181,CSU SOUTH CAMPUS,Reports,LARIMER,A,"Non-Transient, Non-Community",Purchased Surface Water,No,5164,17,No Recent Activity
CO0207785,CU MOUNTAIN RESEARCH STATION,Reports,BOULDER,A,"Transient, Non-Community",Groundwater UDI Surface Water,No,140,10,No Recent Activity
CO0128050,CUCHARA WSD NO 1,Reports,HUERFANO,I,Non-Public,Surface Water,No,0,240,No Recent Activity
CO0128150,CUCHARA WSD NO3 THE RESORT,Reports,HUERFANO,I,Non-Public,Surface Water,No,0,143,No Recent Activity
CO0128100,CUCHARAS SANITATION AND WATER DISTRICT,Reports,HUERFANO,A,Community,Surface Water,No,343,699,No Recent Activity
CO0223148,CULLIGAN   APPLETREE,Reports,GARFIELD,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0258192,CULLIGAN   JULESBURG,Reports,SEDGWICK,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0235192,CULLIGAN ALFALFAS CO0127,Reports,LARIMER,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0238192,CULLIGAN BAWERS MARKET,Reports,LOGAN,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0219193,CULLIGAN CLARKS MARKET,Reports,EAGLE,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0219192,CULLIGAN CLARKS MARKET,Reports,EAGLE,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0244192,CULLIGAN JOHNSONS SUPER MARKET,Reports,MORGAN,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0222415,CULLIGAN MOTHER NATURES HEALTH,Reports,FREMONT,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0238193,CULLIGAN RITE WAY CAR WASH,Reports,LOGAN,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0238198,CULLIGAN SIXTH STREET FOODS,Reports,LOGAN,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0238194,CULLIGAN SIXTH STREET SUPERS,Reports,LOGAN,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0238334,CULLIGAN WALMART NO924 CO 0068,Reports,LOGAN,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0244193,CULLIGAN WATER CONDITIONING,Reports,MORGAN,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0243192,CULLIGAN WATER CONDITIONING  MONTROSE,Reports,MONTROSE,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0238196,CULLIGAN WATER STORE NORTH,Reports,LOGAN,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0238197,CULLIGAN WATER STORE SOUTH,Reports,LOGAN,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0238195,CULLIGAN WC,Reports,LOGAN,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0238199,CULLIGAN WEST MAIN NO 1,Reports,LOGAN,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0238200,CULLIGAN WEST MAIN NO 2,Reports,LOGAN,I,Non-Public,Purchased Surface Water,No,0,1,No Recent Activity
CO0263194,CULPEPPERS BAR AND RESTAURANT,Reports,YUMA,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0326010,CURECANTI CIMARRON RA,Reports,MONTROSE,A,"Transient, Non-Community",Groundwater,No,85,3,No Recent Activity
CO0326005,CURECANTI NRA DRY GULCH RA,Reports,GUNNISON,A,Non-Public,Groundwater,No,5,1,No Recent Activity
CO0326004,CURECANTI NRA EAST ELK CREEK,Reports,GUNNISON,A,Non-Public,Groundwater,No,15,1,No Recent Activity
CO0326011,CURECANTI NRA EAST PORTAL RA,Reports,MONTROSE,A,"Transient, Non-Community",Groundwater,No,59,5,No Recent Activity
CO0326003,CURECANTI NRA ELK CREEK,Reports,GUNNISON,A,"Non-Transient, Non-Community",Groundwater,No,206,25,No Recent Activity
CO0326007,CURECANTI NRA GATEVIEW,Reports,GUNNISON,A,Non-Public,Groundwater,No,5,1,No Recent Activity
CO0326001,CURECANTI NRA IOLA REC AREA,Reports,GUNNISON,A,Non-Public,Groundwater,No,20,1,No Recent Activity
CO0326008,CURECANTI NRA LAKE FORK RA,Reports,GUNNISON,A,"Transient, Non-Community",Groundwater,No,100,3,No Recent Activity
CO0326009,CURECANTI NRA PONDEROSA RA,Reports,GUNNISON,A,Non-Public,Groundwater,No,15,1,No Recent Activity
CO0326006,CURECANTI NRA RED CREEK RA,Reports,GUNNISON,A,Non-Public,Groundwater,No,5,2,No Recent Activity
CO0326002,CURECANTI NRA STEVENS CREEK,Reports,GUNNISON,A,"Transient, Non-Community",Groundwater,No,107,3,No Recent Activity
CO0201032,CURVE BAR,Reports,ADAMS,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0130192,CURVE MOBILE HOME PARK,Reports,JEFFERSON,P,Community,null,No,117,45,No Recent Activity
CO0138192,CUSTER AVENUE MOBILE HOME PARK,Reports,LOGAN,P,Non-Public,null,No,32,28,No Recent Activity
CO0325193,CUTTHROAT BAY GROUP AREA,Reports,GRAND,A,"Transient, Non-Community",Groundwater,No,150,2,No Recent Activity
CO0222330,CUTTYS HAYDEN CREEK RESORT,Reports,FREMONT,A,"Transient, Non-Community",Surface Water,No,364,152,No Recent Activity
CO0241196,CYPRUS EMPIRE CORP    EAGLE NO5,Reports,MOFFAT,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0252400,D AND P WATER INC.,Reports,RIO BLANCO,I,"Non-Transient, Non-Community",Purchased Groundwater,"YES  ",74,1,No Recent Activity
CO0154180,D BAR K,Reports,ROUTT,I,Non-Public,Groundwater,No,0,16,No Recent Activity
CO0162200,DACONO CITY OF,Reports,WELD,A,Community,Purchased Surface Water,No,6900,2420,No Recent Activity
CO0121201,DAIRY MOBILE HOME PARK THE,Reports,EL PASO,P,Non-Public,null,No,89,41,No Recent Activity
CO0128201,DAKOTA MOBILE HOME PARK,Reports,HUERFANO,P,Community,null,No,50,21,No Recent Activity
CO0154200,DAKOTA RIDGE HOA,Reports,ROUTT,A,Community,Groundwater,No,130,61,No Recent Activity
CO0146485,DALLAS CREEK WC,Reports,OURAY,A,Community,Surface Water,No,1059,533,No Recent Activity
CO0246201,DALLAS MEADOWS COMMUNITY ASSOC,Reports,OURAY,A,Community,Groundwater,No,120,36,No Recent Activity
CO0239200,DAN DESSERICH WATER HAULER,Reports,MESA,I,Non-Public,null,No,0,1,No Recent Activity
CO0235123,DAO HOUSE,Reports,LARIMER,A,"Transient, Non-Community",Groundwater,No,135,15,No Recent Activity
CO0314141,DAVENPORT CG NO 1,Reports,CUSTER,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0314148,DAVENPORT CG NO 2,Reports,CUSTER,A,"Transient, Non-Community",Groundwater,No,72,1,No Recent Activity
CO0321742,DAVID BED AND BREAKFAST THE,Reports,ELBERT,P,Non-Public,null,No,0,null,No Recent Activity
CO0135201,DAVIES MOBILE PARK,Reports,LARIMER,P,Community,null,No,65,26,No Recent Activity
CO0260200,DAWN OF HOPE RANCH,Reports,TELLER,A,"Transient, Non-Community",Groundwater,No,55,6,Open Order
CO0349205,DEARHAMER MEREDITH CG,Reports,PITKIN,A,Non-Public,Groundwater,No,12,1,No Recent Activity
CO0225605,DEBBIES DRIVE IN,Reports,GRAND,A,"Transient, Non-Community",Groundwater,No,66,1,No Recent Activity
CO0139205,DEBEQUE TOWN OF,Reports,MESA,A,Community,Surface Water,No,911,338,No Recent Activity
CO0218005,DECKERS RESORT,Reports,DOUGLAS,A,"Transient, Non-Community",Groundwater UDI Surface Water,No,174,9,No Recent Activity
CO0319205,DEEP LAKE CAMPGROUND,Reports,EAGLE,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0139155,DEEP ROCK CRYSTAL DROP WATER,Reports,MESA,A,Non-Public,Groundwater,No,17,3,No Recent Activity
CO0347150,DEER CREEK CG,Reports,PARK,A,"Transient, Non-Community",Groundwater,No,78,1,No Recent Activity
CO0247022,DEER CREEK CHRISTIAN CAMP,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247004,DEER CREEK ELEM SCHOOL,Reports,PARK,A,"Non-Transient, Non-Community",Groundwater,No,450,1,No Recent Activity
CO0247205,DEER CREEK MD,Reports,PARK,A,"Non-Transient, Non-Community",Groundwater,No,662,11,No Recent Activity
CO0120246,DEER CREEK WD,Reports,ELBERT,A,Community,Groundwater,No,792,282,No Recent Activity
CO0307205,DEER HAVEN RS,Reports,BOULDER,A,Non-Public,Groundwater,No,5,1,No Recent Activity
CO0327205,DEER LAKES CG,Reports,HINSDALE,A,Non-Public,Groundwater,No,10,1,No Recent Activity
CO0135205,DEER MOUNTAIN CABINS,Reports,LARIMER,I,Non-Public,Groundwater,No,20,14,No Recent Activity
CO0253204,DEER PARK OWNERS ASSOC,Reports,RIO GRANDE,A,"Transient, Non-Community",Groundwater,No,75,36,No Recent Activity
CO0103030,DEER TRAIL TOWN OF,Reports,ARAPAHOE,A,Community,Groundwater,No,1648,475,No Recent Activity
CO0208280,DEER VALLEY RANCH AND SUBD,Reports,CHAFFEE,A,"Transient, Non-Community",Groundwater,No,142,33,No Recent Activity
CO0241208,DEERLODGE PARK CAMPGROUND,Reports,MOFFAT,A,"Transient, Non-Community",Groundwater,No,31,1,No Recent Activity
CO0154205,DEERWOOD SERVICE COMPANY LLC,Reports,ROUTT,A,Community,Groundwater,No,91,45,No Recent Activity
CO0353230,DEL NORTE OFFICE,Reports,RIO GRANDE,A,"Transient, Non-Community",Groundwater,No,69,1,No Recent Activity
CO0153200,DEL NORTE TOWN OF,Reports,RIO GRANDE,A,Community,Groundwater,No,1429,800,No Recent Activity
CO0235533,DELLA TERRA,Reports,LARIMER,A,"Transient, Non-Community",Groundwater,No,132,78,No Recent Activity
CO0250250,DELOACHS CULLIGAN VENDING MCH,Reports,PROWERS,I,Non-Public,Purchased Groundwater,No,0,1,No Recent Activity
CO0115201,DELTA CITY MHP,Reports,DELTA,I,Community,null,No,71,32,No Recent Activity
CO0115205,DELTA CITY OF,Reports,DELTA,A,Community,Purchased Surface Water,No,8700,3600,No Recent Activity
CO0247207,DELWOOD SQUARE,Reports,PARK,A,"Transient, Non-Community",Groundwater,No,60,1,No Recent Activity
CO0101205,DENVER CASCADE MHP,Reports,ADAMS,A,Community,Purchased Surface Water,No,1200,382,No Recent Activity
CO0325205,DENVER CREEK CG,Reports,GRAND,A,Non-Public,Groundwater,No,4,1,No Recent Activity
CO0230220,DENVER MTN PARKS NEWTON COMMISSIONER,Reports,JEFFERSON,A,Non-Public,null,No,10,1,No Recent Activity
CO0230215,DENVER MTN PARKS NEWTON STROMBERG,Reports,JEFFERSON,A,Non-Public,null,No,17,1,No Recent Activity
CO0218205,DENVER MTN PARKS TALL BULL,Reports,DOUGLAS,A,Non-Public,Groundwater,No,10,1,No Recent Activity
CO0201016,DENVER NORTH CG,Reports,ADAMS,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0201014,DENVER TOFU COMPANY,Reports,ADAMS,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0116001,DENVER WATER BOARD,Reports,DENVER,A,Community,Surface Water,No,1287000,311339,No Recent Activity
CO0101216,DEPENDABLE PORTABLE RESTROOMS,Reports,ADAMS,I,Non-Public,null,No,0,null,No Recent Activity
CO0260290,DEPOT CAFE  AT PETTICOAT JCTN,Reports,TELLER,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0319206,DERBY CREEK GUARD STATION,Reports,EAGLE,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0219205,DERBY CREEK TRADING POST,Reports,EAGLE,I,Non-Public,null,No,0,1,No Recent Activity
CO0101201,DERBY VILLAGE MOBILE HOME PARK,Reports,ADAMS,A,Community,Purchased Groundwater,No,81,40,No Recent Activity
CO0252838,DESERADO MINE,Reports,RIO BLANCO,A,"Non-Transient, Non-Community",Surface Water,No,175,10,No Recent Activity
CO0222204,DESERT REEF HOT SPRINGS,Reports,FREMONT,I,Non-Public,Groundwater,No,170,1,No Recent Activity
CO0215225,DEUTSCH DOMESTIC WATER,Reports,DELTA,A,Community,Groundwater,No,246,76,No Recent Activity
CO0115225,DEUTSCH PIPELINE NEEDLE ROCK,Reports,DELTA,I,Non-Public,Surface Water,No,0,52,No Recent Activity
CO0318205,DEVILS HEAD CG,Reports,DOUGLAS,I,Non-Public,Groundwater,No,0,7,No Recent Activity
CO0225205,DEVILS THUMB RANCH RESORT,Reports,GRAND,A,"Non-Transient, Non-Community",Groundwater,No,451,24,No Recent Activity
CO0103205,DEVONSHIRE HEIGHTS WSD,Reports,ARAPAHOE,I,Non-Public,Purchased Surface Water,No,0,69,No Recent Activity
CO0262206,DEWEYS BAR AND GRILL,Reports,WELD,A,"Transient, Non-Community",Groundwater,No,52,1,No Recent Activity
CO0333150,DEXTER POINT CG,Reports,LAKE,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0207204,DHARMAS GARDEN,Reports,BOULDER,P,Non-Public,Groundwater,No,4,1,No Recent Activity
CO0234355,DIAMOND LODGE GUEST RANCH,Reports,LA PLATA,I,Non-Public,Surface Water,No,0,1,No Recent Activity
CO0221275,DIAMOND MOON RANCH,Reports,EL PASO,I,Non-Public,null,No,0,null,No Recent Activity
CO0122212,DIAMOND ORCHARD COURT,Reports,FREMONT,P,Non-Public,null,No,37,14,No Recent Activity
CO0136210,DIAMOND VIEW SUBDIVISION,Reports,LAS ANIMAS,A,Non-Public,Purchased Surface Water,No,8,13,No Recent Activity
CO0349210,DIFFICULT CG,Reports,PITKIN,A,"Transient, Non-Community",Groundwater,No,105,1,No Recent Activity
CO0235294,DIJKSTRA HUIS TOFFEE,Reports,LARIMER,A,Non-Public,Groundwater,No,2,1,No Recent Activity
CO0159035,DILLON TOWN OF,Reports,SUMMIT,A,Community,Surface Water,No,3254,566,No Recent Activity
CO0159040,DILLON VALLEY DISTRICT,Reports,SUMMIT,A,Community,Surface Water,No,3063,435,No Recent Activity
CO0221280,DILLONS COUNTRY INN,Reports,EL PASO,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0326210,DINNER STATION CG,Reports,GUNNISON,A,"Transient, Non-Community",Groundwater,No,62,1,No Recent Activity
CO0241210,DINOSAUR MNT ECHO PARK CG,Reports,MOFFAT,A,"Transient, Non-Community",Groundwater,No,36,6,No Recent Activity
CO0241485,DINOSAUR MONUMENT  LODORE CG,Reports,MOFFAT,A,"Transient, Non-Community",Groundwater,No,52,6,No Recent Activity
CO0241200,DINOSAUR NATL MNT HDQTRS,Reports,MOFFAT,A,"Non-Transient, Non-Community",Groundwater,No,55,15,No Recent Activity
CO0141211,DINOSAUR NATL MONUMENT,Reports,MOFFAT,I,Non-Public,null,No,0,100,No Recent Activity
CO0141210,DINOSAUR TOWN OF,Reports,MOFFAT,A,Community,Groundwater,No,350,246,No Recent Activity
CO0218210,DIRECTV BROADCAST FACILITY,Reports,DOUGLAS,A,"Non-Transient, Non-Community",Groundwater,No,200,1,No Recent Activity
CO0230684,DISPLAY DEVICES INC,Reports,JEFFERSON,A,Non-Public,Surface Water,No,24,1,No Recent Activity
CO0339210,DIVIDE FORKS CG,Reports,MESA,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0160295,DIVIDE MPC MD NO 1,Reports,TELLER,A,Community,Groundwater,No,679,67,No Recent Activity
CO0160275,DIVIDE SOUTH,Reports,TELLER,A,Community,Groundwater UDI Surface Water,No,74,32,Open Order
CO0160110,DIVIDE SOUTH WUA PURCHASERS,Reports,TELLER,I,Non-Public,Purchased Surface Water,No,0,14,No Recent Activity
CO0160195,DIVIDE WATER PROVIDERS INC,Reports,TELLER,A,Community,Groundwater,No,570,77,No Recent Activity
CO0150211,DJ MOBILE HOME PARK,Reports,PROWERS,I,Community,null,No,28,15,No Recent Activity
CO0262211,DJR WELL SERVICE INC,Reports,WELD,A,Non-Public,Groundwater,No,14,1,No Recent Activity
CO0230206,DLM LANDSCAPE SUPPLY,Reports,JEFFERSON,A,Non-Public,null,No,10,1,No Recent Activity
CO0201017,DODGE BOYS AND GIRLS PET MOTEL,Reports,ADAMS,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0221200,DOG GROOMER,Reports,EL PASO,A,Non-Public,Groundwater,No,3,1,No Recent Activity
CO0255205,DOLLAR GENERAL,Reports,SAGUACHE,A,"Transient, Non-Community",Groundwater,No,34,1,No Recent Activity
CO0242075,DOLORES RIVER LINE CAMP,Reports,MONTEZUMA,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0242100,DOLORES RIVER RVP,Reports,MONTEZUMA,A,"Transient, Non-Community",Groundwater,No,160,80,No Recent Activity
CO0142400,DOLORES TOWN OF,Reports,MONTEZUMA,A,Community,Surface Water,No,1626,540,No Recent Activity
CO0118021,DOMINION WSD,Reports,DOUGLAS,A,Community,Purchased Surface Water,No,0,1,No Recent Activity
CO0122218,DOMS MOBILE HOME PARK,Reports,FREMONT,P,Community,null,No,91,36,No Recent Activity
CO0222350,DOMTAR GYPSUM INC,Reports,FREMONT,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0251300,DON K RANCH,Reports,PUEBLO,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0121175,DONALA WSD,Reports,EL PASO,A,Community,Groundwater,No,6421,2674,Closed Order Within Last 3 Years
CO0133800,DONALD BAILEY PROPERTIES LLC,Reports,LAKE,I,Non-Public,Groundwater,No,0,34,No Recent Activity
CO0326218,DORCHESTER CG,Reports,GUNNISON,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0247210,DOROTHYS HOME MADE TAMALES,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0226218,DOS RIOS RESTAURANT,Reports,GUNNISON,I,Non-Public,Groundwater,No,0,50,No Recent Activity
CO0253190,DOS RIOS RESTAURANTE,Reports,RIO GRANDE,A,"Transient, Non-Community",Groundwater,No,164,1,No Recent Activity
CO0119501,DOT MHP,Reports,EAGLE,A,Community,Groundwater,No,229,96,No Recent Activity
CO0219220,DOTSERO STATION,Reports,EAGLE,I,Non-Public,null,No,0,null,No Recent Activity
CO0139224,DOUBLETREE HOA,Reports,MESA,P,Non-Public,Groundwater,No,23,8,No Recent Activity
CO0218964,DOUGLAS COUNTY SCHOOLS O AND M EAST,Reports,DOUGLAS,A,"Transient, Non-Community",Groundwater,No,126,1,No Recent Activity
CO0207218,DOUGLASS ELEMENTARY DALE HOBBS,Reports,BOULDER,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0117300,DOVE CREEK TOWN OF,Reports,DOLORES,A,Community,Surface Water,No,850,270,Open Target
CO0335217,DOWDY LAKE EAST CG,Reports,LARIMER,A,"Transient, Non-Community",Groundwater,No,272,1,No Recent Activity
CO0335218,DOWDY LAKE WEST SHORE CP ARAP,Reports,LARIMER,A,"Transient, Non-Community",Groundwater,No,240,1,No Recent Activity
CO0257220,DOWN VALLEY PARK,Reports,SAN MIGUEL,A,"Transient, Non-Community",Groundwater,No,90,3,No Recent Activity
CO0210025,DOWNIEVILLE CONOCO TRUCK STOP,Reports,CLEAR CREEK,A,"Transient, Non-Community",Groundwater,No,604,1,No Recent Activity
CO0210010,DOWNIEVILLE TACO BELL,Reports,CLEAR CREEK,A,"Transient, Non-Community",Groundwater,No,286,1,No Recent Activity
CO0110220,DOWNIEVILLE TRAILER PARK,Reports,CLEAR CREEK,P,Non-Public,Groundwater,No,13,6,No Recent Activity
CO0128220,DOWNTOWN TRAILER COURT,Reports,HUERFANO,P,Non-Public,Purchased Surface Water,No,16,6,No Recent Activity
CO0235223,DRAKE SHAFFER CG,Reports,LARIMER,A,Non-Public,null,No,21,3,No Recent Activity
CO0219221,DREAGER SUBD,Reports,EAGLE,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0154223,DREAM ISLAND,Reports,ROUTT,I,Community,Purchased Surface Water,No,216,119,No Recent Activity
CO0247717,DRIFTERS INN,Reports,PARK,I,Non-Public,null,No,0,1,No Recent Activity
CO0239154,DRIVE IN THE,Reports,MESA,I,Non-Public,Groundwater UDI Surface Water,No,7,1,No Recent Activity
CO0228300,DRIVE INN THEATRE,Reports,HUERFANO,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0225222,DROWSY WATER RANCH,Reports,GRAND,A,"Transient, Non-Community",Groundwater UDI Surface Water,No,71,16,No Recent Activity
CO0347175,DUCK CREEK PG,Reports,PARK,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0252505,DUFFERS BAR AND GRILL,Reports,RIO BLANCO,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0241205,DUFFERS INN  GOLF COURSE,Reports,MOFFAT,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0325225,DUMONT CAMPGROUND,Reports,GRAND,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0354225,DUMONT CG NO 1 WEST,Reports,GRAND,A,Non-Public,Groundwater,No,15,1,No Recent Activity
CO0354266,DUMONT CG NO 2,Reports,ROUTT,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0354226,DUMONT CG NO 2 EAST,Reports,GRAND,A,Non-Public,Groundwater,No,22,1,No Recent Activity
CO0207205,DUNCAN PARK,Reports,BOULDER,A,Non-Public,Groundwater,No,22,1,No Recent Activity
CO0220480,DUNE VALLEY DISTILLERY & PUB,Reports,ALAMOSA,P,Non-Public,null,No,100,1,No Recent Activity
CO0202250,DUNES CAFE,Reports,ALAMOSA,I,Non-Public,Groundwater,No,0,1,No Recent Activity
CO0220030,DUNES GLAMPING,Reports,ALAMOSA,P,Non-Public,Groundwater,No,0,null,No Recent Activity
CO0217300,DUNTON HOT SPRINGS INC,Reports,DOLORES,A,"Non-Transient, Non-Community",Groundwater,No,47,4,No Recent Activity
CO0226846,DUPLICATE OF 226716 DO NOT USE,Reports,GUNNISON,I,Non-Public,Groundwater,No,0,33,No Recent Activity
CO0119133,DUPLICATE OF CO0119352 DO NOT USE,Reports,EAGLE,P,Non-Public,null,No,37,null,No Recent Activity
CO0133187,DUPLICATE OF CO0133300 DO NOT USE,Reports,LAKE,I,Non-Public,null,No,0,72,No Recent Activity
CO0202667,DUPLICATE OF CO0202683 DO NOT USE,Reports,ALAMOSA,P,Non-Public,null,No,0,null,No Recent Activity
CO0101118,DUPLICATE OK TO ASSIGN TO ANOTHER SYSTEM,Reports,ADAMS,P,Non-Public,null,No,0,null,No Recent Activity
CO0163183,DUPLICATE OK TO ASSIGN TO ANOTHER SYSTEM,Reports,null,I,Non-Public,null,No,0,null,No Recent Activity
CO0125179,DUPLICATE OK TO ASSIGN TO ANOTHER SYSTEM,Reports,GRAND,I,Non-Public,null,No,0,null,No Recent Activity
CO0225120,DUPLICATE OK TO ASSIGN TO ANOTHER SYSTEM,Reports,null,I,Non-Public,null,No,0,1,No Recent Activity
CO0134340,DUPLICATE OK TO ASSIGN TO ANOTHER SYSTEM,Reports,LA PLATA,P,Non-Public,null,No,0,null,No Recent Activity
CO0253675,DUPLICATE OK TO ASSIGN TO ANOTHER SYSTEM,Reports,null,I,Non-Public,null,No,0,null,No Recent Activity
CO0211109,DUPLICATE OK TO ASSIGN TO ANOTHER SYSTEM,Reports,null,I,Non-Public,null,No,0,null,No Recent Activity
CO0347266,DUPLICATE OK TO ASSIGN TO ANOTHER SYSTEM,Reports,null,P,Non-Public,null,No,0,null,No Recent Activity
CO0239303,DUPLICATE OK TO ASSIGN TO ANOTHER SYSTEM,Reports,null,I,Non-Public,null,No,0,null,No Recent Activity
CO0225543,DUPLICATE OK TO ASSIGN TO ANOTHER SYSTEM,Reports,null,I,Non-Public,null,No,0,null,No Recent Activity
CO0234380,DURANGO 9 R FLORIDA MESA SCHOOL,Reports,LA PLATA,A,"Non-Transient, Non-Community",Groundwater,No,410,2,No Recent Activity
CO0234385,DURANGO 9 R FT LEWIS MESA ELEM SCHOOL,Reports,LA PLATA,I,"Non-Transient, Non-Community",Groundwater,No,184,1,No Recent Activity
CO0234820,DURANGO 9R SUNNYSIDE ELEMENTARY SCHOOL,Reports,LA PLATA,A,"Non-Transient, Non-Community",Groundwater,No,192,1,No Recent Activity
CO0134150,DURANGO CITY OF,Reports,LA PLATA,A,Community,Surface Water,No,33787,7631,No Recent Activity
CO0134225,DURANGO FALFA MHC LLC,Reports,LA PLATA,A,Community,Groundwater UDI Surface Water,No,40,17,Open Order
CO0134510,"DURANGO JCMHP, LLC",Reports,LA PLATA,A,Community,Groundwater UDI Surface Water,No,100,40,Open Order
CO0234480,DURANGO LA PLATA AIRPORT,Reports,LA PLATA,A,"Non-Transient, Non-Community",Groundwater UDI Surface Water,No,780,37,No Recent Activity
CO0134176,DURANGO NORTH VILLAGE,Reports,LA PLATA,A,Community,Purchased Groundwater,No,150,65,No Recent Activity
CO0234225,DURANGO ORGANICS,Reports,LA PLATA,A,Non-Public,Groundwater,No,10,1,No Recent Activity
CO034225,DURANGO ORGANICS,Reports,null,I,Non-Public,null,No,0,1,No Recent Activity
